experiment_id,feature_set,target_type,model_type,postprocess_type,train_corr,val_corr,train_mse,val_mse,train_r2,val_r2,daily_corr_mean,daily_corr_std,train_val_corr_gap,runtime_sec,random_seed,notes
Q00_baseline_ridge,"[""legacy""]",raw,ridge,none,0.05604719797775685,0.054892994806242906,4.2308254965748725e-05,2.080777713173677e-05,0.003141289532138325,-0.012273508181875892,0.054892994806242906,0.0,0.0011542031715139414,14.770419836044312,42,quick baseline
Q01_full_tree_raw,null,raw,tree,none,0.4226283310588533,-0.06730105851913083,3.6622643071050406e-05,2.20312919172103e-05,0.13710454909361425,-0.0717960413367813,-0.06730105843723488,0.0,0.4899293895779841,18.51688528060913,42,quick full tree
Q02_common_residual,"[""base"", ""lag"", ""roll"", ""cross"", ""common_aggregate""]",common_plus_residual,common_residual,none,0.41251819188733035,0.06134178443588276,3.9462602179057374e-05,2.0542089329804327e-05,0.07018999597670617,0.0006518860897243295,0.06134178436627309,0.0,0.3511764074514476,21.535346269607544,42,quick common + residual
Q03_tree_regime,"[""base"", ""lag"", ""roll"", ""cross"", ""regime""]",raw,tree,none,0.4252765332869186,-0.054206331425499035,3.65496493428183e-05,2.1914912658437018e-05,0.1388244128378554,-0.06613432938109387,-0.05420633150210802,0.0,0.47948286471241763,17.22717595100403,42,quick regime tree
Q04_small_fusion,"[""oof_fusion_quick""]",raw,oof_fusion,"{""name"": ""clip_neutral_0.001_0.7"", ""clip_q"": 0.001, ""blend_alpha"": 0.7, ""blend_kind"": ""neutral""}",0.45166461936121793,0.03535530671989922,4.0886774713966096e-05,2.0574735518625548e-05,0.03663392523395892,-0.0009363120093615063,0.03535530671989922,0.0,0.4163093126413187,71.25815176963806,42,quick OOF fusion
