experiment_name,model_type,feature_set,target_type,fold1_corr,fold2_corr,fold3_corr,fold4_corr,fold5_corr,rolling_corr_mean,rolling_corr_std,rolling_corr_min,stability_score,rolling_mse_mean,rolling_r2_mean,daily_corr_mean,daily_corr_std,是否进入下一阶段,原因
O1_R02_plus_ofi_raw,ridge,"[""legacy"", ""norm_core"", ""ofi_raw""]",raw,0.03397219914726817,0.03212295933559214,0.07536297833837785,0.04676860944145192,0.04514996208487309,0.046675341669512635,0.015481974298728147,0.03212295933559214,0.03583795966040293,3.533059789333493e-05,-0.014309382438659668,0.050407772077669666,0.026562394634841384,是,作为正式 rolling 候选保留
O2_R02_plus_ofi_dynamic,ridge,"[""legacy"", ""norm_core"", ""ofi_dynamic""]",raw,0.03283961199528288,0.02941709251850404,0.07401315271771396,0.04558099394965171,0.050379454069529005,0.046446061050136316,0.015819517627763627,0.02941709251850404,0.035372398710701775,3.534557108650915e-05,-0.014610421657562257,0.04976469518482068,0.026706448311988172,是,作为正式 rolling 候选保留
O3_R02_plus_ofi_rank,ridge,"[""legacy"", ""norm_core"", ""ofi_rank"", ""ofi_raw""]",raw,0.034756899471633095,0.032879935262026365,0.0752232508632749,0.04716245564634879,0.045753806763880224,0.047155269601432674,0.015147808252131712,0.032879935262026365,0.03655180382494048,3.5330386890564117e-05,-0.014311456680297851,0.050869691463533796,0.026337703092376884,是,作为正式 rolling 候选保留
O4_R02_plus_ofi_safe,ridge,"[""legacy"", ""norm_core"", ""ofi_safe""]",raw,0.03590290218616275,0.02671883037277871,0.07131410110453675,0.04798004350540973,0.04757378037880101,0.04589793150953779,0.014972400397176629,0.02671883037277871,0.03541725123151415,3.537922675604932e-05,-0.015492355823516846,0.0505388840235995,0.027032663667927014,是,作为正式 rolling 候选保留
O5_R02_plus_ofi_raw_dynamic,ridge,"[""legacy"", ""norm_core"", ""ofi_raw"", ""ofi_dynamic""]",raw,0.03319805648115382,0.029495564938802198,0.07406967439405217,0.04649244987976913,0.049483634614707304,0.04654787606169693,0.015716679873657158,0.029495564938802198,0.03554620015013692,3.534596289682668e-05,-0.014633941650390624,0.05011401085412144,0.026901820075985045,是,作为正式 rolling 候选保留
O6_R02_plus_all_ofi,ridge,"[""legacy"", ""norm_core"", ""ofi_safe"", ""ofi_rank""]",raw,0.035902916892156564,0.026718851331686264,0.07131412827677523,0.04798006891377364,0.04757374564113981,0.0458979422111063,0.014972402218443608,0.026718851331686264,0.03541726065819578,3.537922748364508e-05,-0.015492379665374756,0.05053888952116871,0.02703262266457493,是,作为正式 rolling 候选保留
