fold_id,experiment_id,feature_set,target_type,model_type,postprocess_type,train_corr,val_corr,train_mse,val_mse,train_r2,val_r2,daily_corr_mean,daily_corr_std,rolling_corr_mean,rolling_corr_std,rolling_corr_min,stability_score,train_val_corr_gap,runtime_sec,random_seed,notes
0,B0_ridge_legacy,"[""legacy""]",raw,ridge,none,0.05604719797775685,0.024194344156625174,4.2308254965748725e-05,4.677191280217073e-05,0.003141289532138325,-0.0004706698848797597,0.02381820390502985,0.02406671944675497,,,,,0.03185285382113168,23.521122932434082,42,stage0 legacy ridge baseline
0,B1_ridge_core,"[""base"", ""lag"", ""roll"", ""cross""]",raw,ridge,none,0.17434336915522397,0.05255680286775915,4.115153874834177e-05,4.73437058128708e-05,0.03039560757940951,-0.012701560224349429,0.05474382311759209,0.011404308738675949,,,,,0.12178656628746481,1.2394781112670898,42,stage0 ridge core features
0,B2_tree_core,"[""base"", ""lag"", ""roll"", ""cross""]",raw,tree,none,0.34728248707222886,0.04527595853390285,3.845905948260315e-05,4.746900788784668e-05,0.09383526990957536,-0.01538182372820307,0.04564238596666679,0.024126209912257064,,,,,0.302006528538326,22.22788119316101,42,stage0 tree core features
0,B3_tree_residual_core,"[""base"", ""lag"", ""roll"", ""cross""]",interval_residual,tree,none,0.2978328416483868,0.03185008795571115,3.9001439390704635e-05,4.8054005988153676e-05,0.08105582211123341,-0.027895176427098045,0.03217621508250475,0.026664153635673402,,,,,0.26598275369267566,25.018285036087036,42,stage0 tree residual core features
0,B4_hgb_core,"[""base"", ""lag"", ""roll"", ""cross""]",raw,histgb,none,0.42063809293523424,0.04539448733505561,3.6593338537259275e-05,4.7704670114551986e-05,0.1377950167054205,-0.020422736782489626,0.04519977618344102,0.017425610737136152,,,,,0.3752436056001786,4.0775511264801025,42,stage0 histgb core features
0,B5_hgb_residual_core,"[""base"", ""lag"", ""roll"", ""cross""]",interval_residual,histgb,none,0.37276816772307253,0.03828045629329053,3.735448953217786e-05,4.806070688329335e-05,0.11986092795890668,-0.028038511361411445,0.038456932699966084,0.015124907784628074,,,,,0.334487711429782,3.2274742126464844,42,stage0 histgb residual core features
0,B6_common_residual,"[""base"", ""lag"", ""roll"", ""cross"", ""common_aggregate""]",common_plus_residual,common_residual,none,0.3439642170016503,0.06640768476334832,3.831221184839236e-05,4.773529810562128e-05,0.09729526473548189,-0.0210778822513511,0.06669781502689658,0.0031930878318897626,,,,,0.277556532238302,27.08448076248169,42,stage0 common residual branch
0,B7_soft_regime,"[""main_tree"", ""regime_tree"", ""regime_score""]",interval_demean,tree_soft_regime,none,0.39120624272438453,0.04972961715969049,3.754794721018488e-05,4.74518656800213e-05,0.11530271652748969,-0.015015144772418276,0.0496439266473251,0.01301105599199857,,,,,0.34147662556469405,60.85056734085083,42,stage0 current soft regime ensemble
1,B0_ridge_legacy,"[""legacy""]",raw,ridge,none,0.031608880168065394,0.05397159331927325,4.842790543133416e-05,4.735417058869466e-05,0.0009991223134574456,-0.000603550884156423,0.05172606123021316,0.011033693229858924,,,,,-0.022362713151207858,18.58702564239502,42,stage0 legacy ridge baseline
1,B1_ridge_core,"[""base"", ""lag"", ""roll"", ""cross""]",raw,ridge,none,0.11986422123757123,-0.016858367931932853,4.7779858704067716e-05,4.848492729496608e-05,0.014367432248707845,-0.024496677116027987,-0.0006266309852510227,0.07884026276599237,,,,,0.13672258916950408,1.1783204078674316,42,stage0 ridge core features
